Cell,Cycle No,Step name,Step No,Start,End,Current_min,Current_max,Capacity_min,Capacity_max,Volt_min,Volt_max,Power_min_W,Power_max_W,Duration_s,c_rate
RD_LFP_ConstantPower_REPT_TS_150_0078_0_100,3,CP_DChg,10,2025-11-27 10:40:43.414,2025-11-27 14:53:16.905,27.43,36.0,0.0,118.45,2.499969,3.281314,89.986408725,90.000762469,15153.0,0.24
RD_LFP_ConstantPower_REPT_TS_150_0078_0_100,3,Rest,7,2025-11-27 09:36:19.525,2025-11-27 10:06:20.336,0.0,0.0,0.0,0.0,3.342119,3.643665,0.0,0.0,1801.0,0.0
RD_LFP_ConstantPower_REPT_TS_150_0078_0_100,3,Rest,11,2025-11-27 14:53:16.945,2025-11-27 15:23:17.341,0.0,0.0,0.0,0.0,2.50367,2.72787,0.0,0.0,1800.0,0.0
RD_LFP_ConstantPower_REPT_TS_150_0080_0_100,1,CC_DChg,2,2025-11-26 12:24:48.047,2025-11-26 12:25:12.839,50.0,50.0,0.0,0.349,2.499969,2.705509,124.994122554,135.262084786,25.0,0.33
RD_LFP_ConstantPower_REPT_TS_150_0080_0_100,1,CP_Chg,4,2025-11-26 12:55:13.117,2025-11-26 13:13:02.333,27.69,34.04,0.0,8.655,2.644247,3.25,89.99523432800001,90.012519271,1069.0,0.23
RD_LFP_ConstantPower_REPT_TS_150_0080_0_100,1,CP_Chg,5,2025-11-26 13:13:02.364,2025-11-26 15:48:29.509,50.0,55.16,0.0,137.555,3.263275,3.600001,179.993787636,180.000042655,9327.0,0.37
RD_LFP_ConstantPower_REPT_TS_150_0080_0_100,1,CP_Chg,6,2025-11-26 15:48:29.529,2025-11-26 15:48:33.654,73.98,74.84,0.0,0.085,3.607583,3.65003,269.999783908,270.033406899,4.0,0.5
RD_LFP_ConstantPower_REPT_TS_150_0080_0_100,1,CP_DChg,8,2025-11-26 16:18:33.850,2025-11-26 16:18:33.850,75.5,75.5,0.0,0.0,3.3265,3.3265,251.15100614000002,251.15100614000002,0.0,0.5
RD_LFP_ConstantPower_REPT_TS_150_0080_0_100,1,CP_DChg,9,2025-11-26 16:18:33.869,2025-11-26 16:59:48.474,54.54,55.38,0.0,37.966,3.249999,3.30018,179.991074089,180.000304064,2475.0,0.37
RD_LFP_ConstantPower_REPT_TS_150_0080_0_100,1,CP_DChg,10,2025-11-26 16:59:48.505,2025-11-26 20:49:35.115,27.42,35.99,0.0,107.786,2.499961,3.282698,89.98580620000001,90.000717753,13787.0,0.24
